issue_date,date,T2M,PRECTOTCORR_SUM,QV2M,T2MDEW,PSFC,MSL
2003-01-01,2003-02-01,24.278364,59.87988025665283,14.729858,20.219362,100.93861,101.6327
2003-01-01,2003-03-01,24.154457,57.833924667835234,14.185875,19.610836,100.94733,101.64177
2003-01-01,2003-04-01,24.532799,54.57423620223999,14.142623,19.562037,100.92584,101.61925
2003-01-01,2003-05-01,25.15064,58.3780273270607,14.632521,20.103806,100.91792,101.60984
2003-01-01,2003-06-01,25.821733,72.2582081079483,15.604976,21.140991,100.919815,101.61018
2003-01-01,2003-07-01,26.667496,57.50418935775757,16.298754,21.859419,101.012146,101.701195
2003-02-01,2003-03-01,24.18395,65.92063454627991,14.512805,19.987291,100.98918,101.68384
2003-02-01,2003-04-01,24.424644,70.07543467283249,14.18642,19.607536,100.90474,101.59825
2003-02-01,2003-05-01,24.95099,68.8750032734871,14.51698,19.984283,100.95243,101.64505
2003-02-01,2003-06-01,25.782887,63.41169834136963,15.542805,21.083149,100.97883,101.6697
2003-02-01,2003-07-01,26.608082,57.94539492368698,16.212923,21.775463,101.0345,101.72384
2003-02-01,2003-08-01,26.85566,48.90299874305725,16.294966,21.867525,101.08942,101.77856
2003-03-01,2003-04-01,24.872475,37.60616272687912,14.124477,19.543472,100.90749,101.59998
2003-03-01,2003-05-01,25.126959,66.65532918930053,14.620819,20.08857,100.91236,101.604294
2003-03-01,2003-06-01,25.889761,69.97397224903106,15.6331835,21.168901,100.91768,101.60787
2003-03-01,2003-07-01,26.6685,50.250003962516786,16.115316,21.679127,101.03877,101.728
2003-03-01,2003-08-01,26.913345,49.75345203399658,16.321712,21.894321,101.073654,101.76256
2003-03-01,2003-09-01,27.057886,70.36322736740112,16.881773,22.422007,100.95302,101.64076
2003-04-01,2003-05-01,24.96607,105.22543963432312,15.03693,20.547905,100.93105,101.6235
2003-04-01,2003-06-01,26.050043,79.6570816040039,15.970257,21.515142,100.921135,101.610985
2003-04-01,2003-07-01,26.84813,48.868699736595154,16.358871,21.923424,101.034744,101.72353
2003-04-01,2003-08-01,27.04856,56.005177779197695,16.488447,22.05643,101.064415,101.75295
2003-04-01,2003-09-01,27.2289,60.70048499107361,16.964205,22.501772,100.95117,101.63852
2003-04-01,2003-10-01,26.97142,111.7554533624649,17.439972,22.919878,100.750336,101.436905
2003-05-01,2003-06-01,26.27812,61.499364495277405,15.956395,21.51104,100.96212,101.65172
2003-05-01,2003-07-01,26.943178,54.37442833662033,16.494997,22.05481,101.00653,101.694916
